"UNIQUEID","StreetAddress","City","State","Zip"
"109","2101 S Harbor Blvd","Anaheim","CA","92802"
"110","21452 Brookhurst St","Huntington Beach","CA","92646"
"111","14111 Jeffrey Rd","Irvine","CA","92620"
"112","17475 Brookhurst St","Fountain Valley","CA","92708"
"113","13361 Harbor Blvd","Garden Grove","CA","92843"
"114","102 E Yorba Linda Blvd","Placentia","CA","92870"
"115","9472 Katella Ave","Garden Grove","CA","92804"
"116","6002 Bolsa Ave","Huntington Beach","CA","92647"
"117","524 N Magnolia Ave","Anaheim","CA","92801"
"118","1565 S Disneyland Dr","Anaheim","CA","92802"
"119","1001 S Lemon St","Fullerton","CA","92832"
"120","20 City Blvd West, Ste E","Orange","CA","92868"
"121","2457 Park Ave","Tustin","CA","92782"
"122","1500 S Anaheim Blvd","Anaheim","CA","92805"
"123","2390 American Way St","Orange","CA","92865"
"124","2657 W Lincoln Ave","Anaheim","CA","92801"
"125","800 W Katella Ave","Anaheim","CA","92802"
"126","811 W Lincoln Ave","Anaheim","CA","92805"
"127","2060 S Harbor Blvd","Anaheim","CA","92802"
"128","900 S Disneyland Dr","Anaheim","CA","92802"
"129","700 W Convention Way","Anaheim","CA","92802"
"130","12015 Harbor Blvd","Garden Grove","CA","92840"
"131","470 Ocean Ave","Laguna Beach","CA","92651"
"132","13912 Ponderosa St, Ste I","Santa Ana","CA","92705"
"133","1456 S Coast Hwy","Laguna Beach","CA","92651"
"134","1605 Alabama St","Huntington Beach","CA","92648"
"135","2000 E Gene Autry Way","Anaheim","CA","92806"
"136","270 E 17th St, Ste 14","Costa Mesa","CA","92627"
"137","20062 Laguna Canyon Rd","Laguna Beach","CA","92651"
"138","1611 W Sunflower Ave","Santa Ana","CA","92704"
"139","6011 Warner Ave","Huntington Beach","CA","92647"
"140","16569 Von Karman Ave","Irvine","CA","92606"
"141","302 N Broadway","Santa Ana","CA","92701"
"142","30262 Crown Valley Pkwy, Ste A","Laguna Niguel","CA","92677"
"143","2114 E Lincoln Ave","Anaheim","CA","92806"
"144","22872 Avenida Empressa","Rancho Santa Margarita","CA","92688"
